Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Month
c43d786d7f8208f35efd434e4ed09365d7558e68,5972edb97ae53140d2e4cb8549f1527d9d93491acef5a2b8c2ccbc30d4547205d76ab83cf2a6fcb039263a1a31e4842cd1676be70fa07de0bda8543101c1079e,10/01/2021 12:00:00 AM,10/01/2021 12:15:00 AM,1080.0,0.0,,,,,31.5,7.2,0.0,4.0,42.7,Credit Card,"Taxicab Insurance Agency, LLC",,,,,,,10
07c5e2f7a7310f26b499536bd6919af6fc5ded6e,e2c349c7cbb608d552aa0b5814031943f13641ef9e50d86361d598aa3277fc35fabc76bd437f793774e6deaa6f2a0f29b8a87b0cf22b5a27b6c10f6f5ed614ae,10/01/2021 12:00:00 AM,10/01/2021 12:15:00 AM,1020.0,9.1,,,32.0,,24.5,7.5,0.0,0.0,32.0,Credit Card,"Taxicab Insurance Agency, LLC",41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),,,,10
1332108f7cd7f077f43833e322f4baeddec110df,7075c4988c577798c58b800dbb9742376dbbb74a84ce6ead178e7d00afcaafa6ac936cd9af7b6685991b9121b629de30650958fa926c5472da0083a63ed285c7,10/01/2021 12:00:00 AM,10/01/2021 12:15:00 AM,1560.0,18.2,,,,,44.75,9.85,0.0,4.0,58.6,Credit Card,Star North Management LLC,,,,,,,10
1c13085acfa3bde953de931f7c0d0b5905a75959,2780ead18beaa862cc67315ddabd9d1acaadcd6da82eba38b064d7d6f4acc260b68ef1ae3ce06dad845178107940b3493fa99640f0f70c25d15cf57336ab7b8f,10/01/2021 12:00:00 AM,10/01/2021 12:15:00 AM,1267.0,7.08,,,3.0,15.0,20.5,0.0,0.0,0.0,20.5,Cash,Flash Cab,41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197),41.954027649,-87.763399032,POINT (-87.7633990316 41.9540276487),10
1f9b1f135ff001aab4b964ba525f534cc5b60d4f,4b034948aceedd53262ae713f864b0364953a1852b6b24669f192cad26c5014f1af0b6c87b941abb1fa93e1abbe09f70d7f02d48e5371d2c55534b68565a3060,10/01/2021 12:00:00 AM,10/01/2021 12:00:00 AM,420.0,2.12,,17031770700.0,,,8.75,0.0,0.0,5.0,13.75,Cash,Sun Taxi,,,,41.982775009,-87.8773054,POINT (-87.8773053996 41.9827750091),10
2a6a952848b9b6ff19d01eb1b95e76e73b636fe0,7125aaebd230568cd7ddc51bbb3b216fbfc5029ceb83877bc6eafe34875b105f9736f6268905b0d2b689d00a66cbea3b186c0e1cab4b7ba4285afe508b8944fe,10/01/2021 12:00:00 AM,10/01/2021 12:15:00 AM,900.0,4.5,,,8.0,22.0,14.75,3.05,0.0,0.0,17.8,Credit Card,U Taxicab,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.92276062,-87.699155343,POINT (-87.6991553432 41.9227606205),10
29adbf7ee22f948acfdc4dfc1c41903a22066561,15ddbeeb791d41c7683b885617281c0b548544f189ee3630ea6205078abf793173f13acb37440222ebe2a7a3b701fdfca26b4a2d5d75921a3218ad63ab23aa3a,10/01/2021 12:00:00 AM,10/01/2021 12:15:00 AM,960.0,9.5,17031980100.0,17031330100.0,56.0,33.0,25.25,5.95,0.0,4.0,35.2,Credit Card,Taxi Affiliation Services,41.785998518,-87.750934289,POINT (-87.7509342894 41.785998518),41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),10
341cf98a76d65ea0b080d6e596b7dd006f2a1214,bc9f0521b68daec76fdff578445175b5afccf1701a34b0c54013555c56a1a42982fb8fdc2a5ad0e8cabbe067601a20f8df18f64883efddca7d1b686169f16e72,10/01/2021 12:00:00 AM,10/01/2021 12:15:00 AM,1020.0,7.7,,,8.0,14.0,21.75,0.0,0.0,0.0,21.75,Cash,"Taxicab Insurance Agency, LLC",41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.968069,-87.721559063,POINT (-87.7215590627 41.968069),10
3078caef28f0c9eb01f5b758ba88b94da645b2a8,121e6b6064d993f2f1bc475ffd6392987c431f18e99c307e3da44c3b130bbb07e29413ad792dc339227b20a60bbc6af2fd8f4a4ad7d9468d9c732a1626da7dc9,10/01/2021 12:00:00 AM,10/01/2021 12:15:00 AM,1260.0,18.0,,,,,44.25,9.3,0.0,2.0,55.55,Credit Card,Top Cab Affiliation,,,,,,,10
3569860b18470d15a872c5ad32308ecac9b6edd4,2c6ef81b0ba1f2bbe58cb63f171b872e9e3f53d4c34a3cea273685a97da3bf5e7711767303f028d68f735c5a7acf04d94965ffc332e389515d91ec77cd5ab6dc,10/01/2021 12:00:00 AM,10/01/2021 12:00:00 AM,540.0,1.6,,,8.0,32.0,7.5,0.0,0.0,1.5,9.0,Cash,"Taxicab Insurance Agency, LLC",41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),10
